request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,24626.46,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-15,none,"Your baseline safe-to-pay amount of 24,626.46 is insufficient for the full purchase price of 37,114.00. However, the 3-month installment plan (payment_option_281) is affordable, with the first payment due on 2024-06-13 and the final payment completed by 2024-08-14, which is within your desired completion date."
request_101,143500,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Your current available balance and 90-day forecast confirm that you can safely afford the full investment amount of INR 143,500 today without impacting your essential financial priorities."
request_102,1716,affordable_now,not_recommended,none,2026-04-05,none,"The baseline safe amount of 1716.0 covers the full requested amount. As the user's profile indicates they can afford this now without impacting their minimum balance, a full payment is recommended."
request_103,3170.1,not_affordable,not_recommended,none,,none,"The requested amount of INR 368,300 exceeds your safe payment capacity of INR 3,170.1. Even with all adjustable spending items stopped or reduced, the headroom created is insufficient to cover the full cost or meet the installment requirements within the 90-day forecast. No full payment date is projected within the desired completion window."
request_104,17204,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"The requested amount of ZAR 17,204 is within the safe-to-pay baseline of ZAR 17,204. Full payment is affordable today without impacting your protected expenses or minimum balance requirements."
request_105,50119.13,affordable_with_plan,installments,2026-06-11:9630|2026-07-09:9630|2026-08-06:9630|2026-09-03:9630|2026-10-01:9630|2026-10-29:9630,2026-06-15,none,"The requested amount of 53,500 exceeds the safe baseline of 50,119.13. Full payment is not safe until 2026-06-15, which is after the desired completion date. The 6-month installment plan (payment_option_297) is affordable, starts by the desired date, and fits within the 9-month limit."
request_106,455.39,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"The requested amount of EUR 2,207.70 exceeds the current safe-to-pay baseline of EUR 455.39. While you have confirmed future income, the earliest date you can safely afford the full payment is 2025-02-15, which aligns with your desired completion date."
request_107,878.59,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,,none,"The baseline safe amount is 0 due to a projected 90-day deficit. However, the installment plan (payment_option_301) is affordable as it fits within the desired completion date and the user's preferred payment methods, despite the financing fee."
request_108,3367.44,affordable_later,wait,2026-08-08:55308.0,2026-08-08,none,"The requested amount of ZAR 55,308 exceeds the safe payment capacity of ZAR 3,367.44. Installments are not among your preferred payment methods, and partial payment is not allowed for this request. Full payment is projected to be safe by 2026-08-08, which is after your desired completion date, making waiting the only viable option."
request_109,447.84,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"The requested amount of 1863.40 exceeds the safe baseline of 447.84. Installment option 307 is affordable, fits within the 5-month limit, and completes by the desired date."
request_110,22352,affordable_now,not_recommended,none,2025-08-06,none,"Your baseline safe-to-pay amount of ZAR 22,352 covers the full requested amount. As you have sufficient funds available today, a full payment is the most cost-effective option."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"The requested amount of IDR 16,625,000 is within the safe-to-pay baseline of IDR 16,625,000. Although your employment has ended, the current available balance and 90-day forecast confirm that the full payment is affordable today without requiring spending changes."
